Acts;Author;Directions;Lemmas;Lemmas, per direction;Title;Words;Words, per direction;Year;Directions, per act;Words, per act;Lemmas, per act;ADJ;ADVB;INTJ;NOUN;PREP;VERB
4;Чехов, Антон Павлович;653;2553;5.211332312404288;Три сестры;16403;3.4931087289433385;1901;163.25;4100.75;638.25;0.20980091883614088;0.2006125574272588;0.022970903522205207;1.2649310872894335;0.5206738131699847;0.7886676875957122
4;Чехов, Антон Павлович;575;2397;6.088695652173913;Вишневый сад;13099;4.325217391304348;1904;143.75;3274.75;599.25;0.30782608695652175;0.32;0.017391304347826087;1.5478260869565217;0.5495652173913044;0.9373913043478261
5;Фонвизин, Денис Иванович;165;2169;5.387878787878788;Бригадир;13021;3.5878787878787883;1772;33.0;2604.2;433.8;0.22424242424242424;0.05454545454545454;0.0;1.4;0.6;0.4303030303030303
5;Фонвизин, Денис Иванович;349;2901;4.959885386819484;Недоросль;16117;3.1117478510028653;1782;69.8;3223.4;580.2;0.17765042979942694;0.10601719197707736;0.0;1.3581661891117478;0.4183381088825215;0.3151862464183381
1;Гоголь, Николай Васильевич;177;1866;5.519774011299435;Игроки;9239;3.6440677966101696;1842;177.0;9239.0;1866.0;0.2937853107344633;0.12994350282485875;0.0;1.3163841807909604;0.4971751412429379;0.6214689265536724
1;Гоголь, Николай Васильевич;35;611;8.428571428571429;Лакейская;1648;6.6571428571428575;1842;35.0;1648.0;611.0;0.8;0.22857142857142856;0.0;2.5428571428571427;1.0857142857142856;1.0285714285714285
1;Гоголь, Николай Васильевич;34;979;4.088235294117647;Отрывок;3605;2.3823529411764706;1842;34.0;3605.0;979.0;0.11764705882352941;0.14705882352941177;0.0;0.8823529411764706;0.3235294117647059;0.5
5;Гоголь, Николай Васильевич;433;3229;6.450346420323327;Ревизор;21096;4.5981524249422625;1836;86.6;4219.2;645.8;0.3833718244803695;0.23556581986143188;0.006928406466512702;1.5542725173210161;0.6466512702078522;0.7875288683602771
1;Гоголь, Николай Васильевич;119;1932;6.042016806722689;Театральный разъезд после представления новой комедии;9926;4.26890756302521;1842;119.0;9926.0;1932.0;0.5462184873949579;0.21008403361344538;0.0;1.3277310924369747;0.6134453781512605;0.6554621848739496
1;Гоголь, Николай Васильевич;23;648;4.391304347826087;Тяжба;1706;2.565217391304348;1842;23.0;1706.0;648.0;0.08695652173913043;0.17391304347826086;0.0;1.0;0.2608695652173913;0.7391304347826086
